time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,40,14,30,18.68,2.52
01h,0,29,28,18.2,20.79
02h,25,22,46,27.31,24.32
03h,6,11,21,1.69,15.46
04h,15,16,24,22.26,2.55
05h,23,30,1,4.76,11.84
06h,32,35,13,20.94,16.85
07h,35,40,32,9.79,22.64
08h,6,40,27,2.53,11.48
09h,17,7,31,6.11,18.85
10h,18,47,47,0.91,11.38
11h,12,30,42,28.81,20.25
12h,3,44,39,12.86,3.76
13h,0,36,4,1.6,9.7
14h,43,27,46,2.24,9.47
15h,23,2,48,21.59,23.82
16h,39,50,28,8.18,21.03
17h,38,2,0,2.67,3.69
18h,42,17,40,3.98,17.05
19h,29,43,37,10.34,3.05
20h,25,38,50,7.12,3.99
21h,29,34,5,5.57,10.91
22h,42,42,3,12.71,6.52
23h,39,36,17,27.61,17.91
